keyword,n_postings,median_pay,mean_pay,vs_overall_pct,p_value,cliffs_delta,effect,significant_fdr
zapier,211,30.0,33.71090047393365,33.33333333333333,2.9608746229066757e-09,0.235979563646173,small,True
event,412,30.0,36.04004854368932,33.33333333333333,5.466018537049345e-16,0.23077452953215793,small,True
implementation,308,30.0,36.717532467532465,33.33333333333333,1.448085685463489e-17,0.2809499335895005,small,True
performance,222,30.0,36.68018018018018,33.33333333333333,6.453912965341307e-10,0.2395775500096955,small,True
dashboard,292,30.0,33.61472602739726,33.33333333333333,7.791899524742627e-15,0.2628089211990545,small,True
photography,170,30.0,36.194117647058825,33.33333333333333,5.121104044272451e-06,0.20198392364597395,small,True
sql,177,30.0,34.4774011299435,33.33333333333333,1.8659329943327854e-07,0.22628222193400993,small,True
non,197,30.0,43.09644670050761,33.33333333333333,4.5518705013356256e-11,0.27100227375100294,small,True
report,218,30.0,34.81192660550459,33.33333333333333,1.9606055266164117e-10,0.24901824406454365,small,True
analysis,470,30.0,34.89148936170213,33.33333333333333,4.1934370012758775e-12,0.18490757170143257,small,True
system,554,29.75,35.64620938628159,32.22222222222222,6.027110873456777e-27,0.2642474224219822,small,True
model,440,29.25,36.273863636363636,30.000000000000004,3.8564911398038727e-19,0.24651244436423259,small,True
plan,322,29.0,38.60403726708075,28.888888888888896,1.685258868266149e-16,0.26549815044735947,small,True
not,152,29.0,51.41447368421053,28.888888888888896,5.535063831000481e-06,0.21282452015186126,small,True
packaging,205,29.0,30.778048780487804,28.888888888888896,4.222196289206902e-07,0.20409468697360023,small,True
learning,293,29.0,35.77815699658703,28.888888888888896,2.090302090577966e-12,0.23728977904314674,small,True
startup,559,28.5,36.51252236135957,26.66666666666666,8.20247473550682e-12,0.1672860055085712,small,True
coach,239,28.5,39.34728033472803,26.66666666666666,4.593216426178871e-07,0.18845168690329306,small,True
conversion,396,28.5,36.92929292929293,26.66666666666666,1.796354995244414e-14,0.2226962597211839,small,True
custom,704,28.5,32.19247159090909,26.66666666666666,1.1920476082090258e-24,0.22370091972277972,small,True
improve,190,28.0,31.176315789473684,24.444444444444446,0.0005148707062675945,0.14553177506740012,negligible,True
chatbot,190,28.0,33.10263157894737,24.444444444444446,4.736896233312066e-07,0.21106126681857518,small,True
training,304,27.5,32.3125,22.222222222222232,6.750243786544443e-06,0.1492095957441859,negligible,True
software,982,27.5,34.08146639511202,22.222222222222232,1.656145781116883e-23,0.1848935778394034,small,True
identity,181,27.5,32.8646408839779,22.222222222222232,3.077249163459213e-10,0.2702510514409262,small,True
artist,568,27.5,31.889964788732396,22.222222222222232,7.71728846595454e-16,0.19567455483819396,small,True
director,164,27.5,35.98780487804878,22.222222222222232,3.231915686858402e-06,0.20995730851380423,small,True
tool,229,27.5,31.986899563318776,22.222222222222232,6.673850476998466e-08,0.20614854098811963,small,True
expertise,375,27.5,34.31066666666667,22.222222222222232,4.54173552841313e-08,0.1632596291527002,small,True
workflow,150,27.5,31.566666666666666,22.222222222222232,9.488073720966773e-05,0.18405403195473347,small,True
motion,207,27.5,31.71256038647343,22.222222222222232,6.693066929397702e-07,0.19955171887505774,small,True
finance,210,27.5,38.94761904761905,22.222222222222232,4.7186737795944875e-05,0.16220984684063233,small,True
process,194,27.5,33.646907216494846,22.222222222222232,0.00032685201539968964,0.14900838034104913,negligible,True
engineering,205,27.5,37.33658536585366,22.222222222222232,3.1439002786688697e-07,0.2063521431069193,small,True
game,539,27.5,31.176252319109462,22.222222222222232,8.439538523330232e-13,0.17829161437880225,small,True
reporting,155,27.5,31.835483870967742,22.222222222222232,0.0017842495868760386,0.14491349209462911,negligible,True
programmer,158,27.5,32.08860759493671,22.222222222222232,9.038462005564508e-06,0.20395217313028846,small,True
studio,223,27.5,32.23094170403587,22.222222222222232,4.5513209622566005e-06,0.17735721805124216,small,True
develop,313,27.5,31.677316293929714,22.222222222222232,1.4436331936234331e-11,0.22067371219205723,small,True
food,215,27.5,35.54186046511628,22.222222222222232,1.3840016594384602e-07,0.2075240754297647,small,True
automation,840,27.5,30.11190476190476,22.222222222222232,5.6735215081713314e-12,0.13770879044851658,negligible,True
